S.No.,Fighter Name,Height,Weight,Reach,Stance,DOB
1,Merab Dvalishvili,5.06,135 lbs.,"68""",Orthodox,"Jan 10, 1991"
2,Sean O'Malley,5.01,135 lbs.,"72""",Switch,"Oct 24, 1994"
3,Valentina Shevchenko,5.05,125 lbs.,"66""",Southpaw,"Mar 07, 1988"
4,Alexa Grasso,5.05,125 lbs.,"66""",Orthodox,"Aug 09, 1993"
5,Diego Lopes,5.01,145 lbs.,"72""",Orthodox,"Dec 30, 1994"
6,Brian Ortega,5.08,145 lbs.,"69""",Switch,"Feb 21, 1991"
7,Esteban Ribovics,5.01,155 lbs.,"69""",Orthodox,"Apr 27, 1996"
8,Daniel Zellhuber,6.01,155 lbs.,"77""",Switch,"Jul 07, 1999"
9,Ronaldo Rodriguez,5.06,125 lbs.,"65""",Orthodox,"May 07, 1999"
10,Ode Osbourne,5.07,125 lbs.,"73""",Southpaw,"Jan 09, 1992"
11,Norma Dumont,5.07,135 lbs.,"67""",Orthodox,"Oct 01, 1990"
12,Irene Aldana,5.09,135 lbs.,"68""",Orthodox,"Mar 26, 1988"
13,Ignacio Bahamondes,6.03,155 lbs.,"75""",Orthodox,"Aug 27, 1997"
14,Manuel Torres,5.01,155 lbs.,"73""",Switch,"Mar 25, 1995"
15,Ketlen Souza,5.03,115 lbs.,"63""",Orthodox,"Aug 18, 1994"
16,Yazmin Jauregui,5.03,115 lbs.,"64""",Orthodox,"Feb 28, 1999"
17,Joshua Van,5.05,125 lbs.,"65""",Orthodox,"Oct 10, 2001"
18,Edgar Chairez,5.07,125 lbs.,"71""",Orthodox,"Jan 27, 1996"
19,Raul Rosas Jr.,5.09,135 lbs.,"67""",Switch,"Oct 08, 2004"
20,Aoriqileng,5.07,135 lbs.,"69""",Orthodox,"Jun 25, 1993"
21,Sean Brady,5.01,170 lbs.,"72""",Orthodox,"Nov 23, 1992"
22,Gilbert Burns,5.01,170 lbs.,"71""",Orthodox,"Jul 20, 1986"
23,Natalia Silva,5.04,125 lbs.,"65""",Southpaw,"Feb 03, 1997"
24,Jessica Andrade,5.01,125 lbs.,"62""",Orthodox,"Sep 25, 1991"
25,Steve Garcia,6.0,145 lbs.,"75""",Southpaw,"May 22, 1992"
26,Kyle Nelson,5.01,145 lbs.,"71""",Switch,"Apr 20, 1991"
27,Cody Durden,5.07,125 lbs.,"67""",Southpaw,"Mar 29, 1991"
28,Matt Schnell,5.08,125 lbs.,"70""",Orthodox,"Jan 15, 1990"
29,Yanal Ashmouz,5.09,155 lbs.,"69""",Orthodox,"Mar 31, 1995"
30,Trevor Peek,5.09,155 lbs.,"70""",Switch,"Jan 09, 1995"
31,Chris Padilla,5.09,155 lbs.,"74""",Orthodox,"Sep 14, 1995"
32,Rongzhu,5.09,155 lbs.,"72""",Orthodox,"Mar 07, 2000"
33,Isaac Dulgarian,5.07,145 lbs.,"71""",Orthodox,"Jul 04, 1996"
34,Brendon Marotte,5.09,145 lbs.,"70""",Orthodox,"Jan 12, 1996"
35,Andre Lima,5.07,125 lbs.,"67""",Orthodox,"Feb 04, 1999"
36,Felipe dos Santos,5.07,125 lbs.,"70""",Orthodox,"Sep 11, 2000"
