S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Sean O'Malley, Marlon Vera",UFC 299: O'Malley vs. Vera 2,Bantamweight,U-DEC,5,5:00,Sean O'Malley
2,"Dustin Poirier, Benoit Saint Denis",UFC 299: O'Malley vs. Vera 2,Lightweight,KO/TKO,2,2:32,Dustin Poirier
3,"Michael Page, Kevin Holland",UFC 299: O'Malley vs. Vera 2,Welterweight,U-DEC,3,5:00,Michael Page
4,"Jack Della Maddalena, Gilbert Burns",UFC 299: O'Malley vs. Vera 2,Welterweight,KO/TKO,3,3:43,Jack Della Maddalena
5,"Petr Yan, Song Yadong",UFC 299: O'Malley vs. Vera 2,Bantamweight,U-DEC,3,5:00,Petr Yan
6,"Curtis Blaydes, Jailton Almeida",UFC 299: O'Malley vs. Vera 2,Heavyweight,KO/TKO,2,0:36,Curtis Blaydes
7,"Maycee Barber, Katlyn Cerminara",UFC 299: O'Malley vs. Vera 2,Women's Flyweight,U-DEC,3,5:00,Maycee Barber
8,"Mateusz Gamrot, Rafael Dos Anjos",UFC 299: O'Malley vs. Vera 2,Lightweight,U-DEC,3,5:00,Mateusz Gamrot
9,"Kyler Phillips, Pedro Munhoz",UFC 299: O'Malley vs. Vera 2,Bantamweight,U-DEC,3,5:00,Kyler Phillips
10,"Philipe Lins, Ion Cutelaba",UFC 299: O'Malley vs. Vera 2,Light Heavyweight,U-DEC,3,5:00,Philipe Lins
11,"Michel Pereira, Michal Oleksiejczuk",UFC 299: O'Malley vs. Vera 2,Middleweight,SUB,1,1:01,Michel Pereira
12,"Robelis Despaigne, Josh Parisian",UFC 299: O'Malley vs. Vera 2,Heavyweight,KO/TKO,1,0:18,Robelis Despaigne
13,"Asu Almabayev, CJ Vergara",UFC 299: O'Malley vs. Vera 2,Flyweight,U-DEC,3,5:00,Asu Almabayev
14,"Joanne Wood, Maryna Moroz",UFC 299: O'Malley vs. Vera 2,Women's Flyweight,S-DEC,3,5:00,Joanne Wood
